id,delivery_file,master_file,cefr,topic,subtype,roles,line_count,target_seconds,record_status
listening_b2_0014,listening_b2_0014.m4a,listening_b2_0014.wav,B2,environnement,interview_excerpt,narrator|f2|m2,5,32,awaiting_recording
listening_b2_0015,listening_b2_0015.m4a,listening_b2_0015.wav,B2,sante,interview_excerpt,narrator|m1|f1,5,31,awaiting_recording
listening_b2_0016,listening_b2_0016.m4a,listening_b2_0016.wav,B2,logement,interview_excerpt,narrator|m2|f2,5,36,awaiting_recording
listening_b2_0017,listening_b2_0017.m4a,listening_b2_0017.wav,B2,medias,interview_excerpt,narrator|m1|f1,5,32,awaiting_recording
listening_b2_0018,listening_b2_0018.m4a,listening_b2_0018.wav,B2,transport,interview_excerpt,narrator|m2|f2,5,32,awaiting_recording
listening_b2_0019,listening_b2_0019.m4a,listening_b2_0019.wav,B2,technologie,interview_excerpt,m1|f1,4,27,awaiting_recording
listening_b2_0020,listening_b2_0020.m4a,listening_b2_0020.wav,B2,environnement,interview_excerpt,f2|m1,4,24,awaiting_recording
listening_b2_0021,listening_b2_0021.m4a,listening_b2_0021.wav,B2,sante,interview_excerpt,m2|f1,4,23,awaiting_recording
listening_b2_0022,listening_b2_0022.m4a,listening_b2_0022.wav,B2,logement,interview_excerpt,f2|elder_f,4,26,awaiting_recording
listening_b2_0023,listening_b2_0023.m4a,listening_b2_0023.wav,B2,culture,interview_excerpt,m1|f1,4,22,awaiting_recording
listening_b2_0024,listening_b2_0024.m4a,listening_b2_0024.wav,B2,travail,interview_excerpt,f2|m2,4,25,awaiting_recording
listening_b2_0025,listening_b2_0025.m4a,listening_b2_0025.wav,B2,environnement,interview_excerpt,m1|f1,6,47,awaiting_recording
listening_b2_0026,listening_b2_0026.m4a,listening_b2_0026.wav,B2,travail,interview_excerpt,f2|m2,6,48,awaiting_recording
listening_c1_0001,listening_c1_0001.m4a,listening_c1_0001.wav,C1,logement,argumentation,narrator|f1,3,27,awaiting_recording
listening_c1_0002,listening_c1_0002.m4a,listening_c1_0002.wav,C1,medias,argumentation,narrator|m1|f2,5,42,awaiting_recording
listening_c1_0003,listening_c1_0003.m4a,listening_c1_0003.wav,C1,travail,argumentation,narrator|m2,3,31,awaiting_recording
listening_c1_0004,listening_c1_0004.m4a,listening_c1_0004.wav,C1,sante,argumentation,narrator|f1,3,28,awaiting_recording
listening_c1_0005,listening_c1_0005.m4a,listening_c1_0005.wav,C1,societe,argumentation,narrator|m1,3,33,awaiting_recording
listening_c1_0006,listening_c1_0006.m4a,listening_c1_0006.wav,C1,immigration,argumentation,narrator|f2,3,31,awaiting_recording
listening_c1_0007,listening_c1_0007.m4a,listening_c1_0007.wav,C1,environnement,argumentation,m1|f1,2,27,awaiting_recording
listening_c1_0008,listening_c1_0008.m4a,listening_c1_0008.wav,C1,medias,argumentation,m2|f1,3,25,awaiting_recording
listening_c1_0009,listening_c1_0009.m4a,listening_c1_0009.wav,C1,sante,argumentation,narrator|elder_m,2,28,awaiting_recording
listening_c1_0010,listening_c1_0010.m4a,listening_c1_0010.wav,C1,travail,argumentation,f1|f2,2,27,awaiting_recording
listening_c1_0011,listening_c1_0011.m4a,listening_c1_0011.wav,C1,immigration,argumentation,narrator|m1,2,33,awaiting_recording
listening_c1_0012,listening_c1_0012.m4a,listening_c1_0012.wav,C1,culture,argumentation,narrator|f1,2,28,awaiting_recording
listening_c1_0013,listening_c1_0013.m4a,listening_c1_0013.wav,C1,environnement,argumentation,narrator|f1|m1,4,51,awaiting_recording
listening_c1_0014,listening_c1_0014.m4a,listening_c1_0014.wav,C1,medias,argumentation,narrator|m1|f1,5,45,awaiting_recording
listening_c1_0015,listening_c1_0015.m4a,listening_c1_0015.wav,C1,travail,argumentation,narrator|f2|m2,5,52,awaiting_recording
listening_c1_0016,listening_c1_0016.m4a,listening_c1_0016.wav,C1,logement,argumentation,narrator|f1|m1,5,45,awaiting_recording
listening_c2_0001,listening_c2_0001.m4a,listening_c2_0001.wav,C2,environnement,argumentation,narrator|m1|f1,6,59,awaiting_recording
listening_c2_0002,listening_c2_0002.m4a,listening_c2_0002.wav,C2,medias,argumentation,narrator|f1|m2,5,47,awaiting_recording
listening_c2_0003,listening_c2_0003.m4a,listening_c2_0003.wav,C2,sante,argumentation,m1|f2,6,49,awaiting_recording
listening_c2_0004,listening_c2_0004.m4a,listening_c2_0004.wav,C2,culture,argumentation,m2|f1,4,43,awaiting_recording
listening_c2_0005,listening_c2_0005.m4a,listening_c2_0005.wav,C2,immigration,argumentation,f2|f1,6,46,awaiting_recording
listening_c2_0006,listening_c2_0006.m4a,listening_c2_0006.wav,C2,technologie,argumentation,narrator|f1|m1,5,51,awaiting_recording
listening_c2_0007,listening_c2_0007.m4a,listening_c2_0007.wav,C2,environnement,argumentation,narrator|f1,2,30,awaiting_recording
listening_c2_0008,listening_c2_0008.m4a,listening_c2_0008.wav,C2,medias,argumentation,m1|f2,2,29,awaiting_recording
listening_c2_0009,listening_c2_0009.m4a,listening_c2_0009.wav,C2,culture,argumentation,m2,1,26,awaiting_recording
listening_c2_0010,listening_c2_0010.m4a,listening_c2_0010.wav,C2,travail,argumentation,m1|f1,2,28,awaiting_recording
listening_a1_0013,listening_a1_0013.m4a,listening_a1_0013.wav,A1,vie_quotidienne,short_dialogue,f1|m1,3,9,awaiting_recording
